name1,image1,name2,image2
Jamie_King,1,Lauren_Hutton,2
Brett_Hull,1,Ralph_Nader,1
Jennifer_Capriati,7,Jennifer_Capriati,32
Juan_Valencia_Osorio,1,Juan_Valencia_Osorio,2
Richard_Virenque,1,Richard_Virenque,4
Tim_Henman,8,Tim_Henman,19
Fabrice_Santoro,1,Fabrice_Santoro,3
LK_Advani,1,LK_Advani,3
Arnold_Schwarzenegger,28,Arnold_Schwarzenegger,41
LeBron_James,4,LeBron_James,5
Constance_Marie,1,Constance_Marie,2
Kathryn_Bigelow,1,Kathryn_Bigelow,2
Liam_Neeson,2,Liam_Neeson,3
Nathalie_Baye,1,Nathalie_Baye,4
Heidi_Fleiss,1,Heidi_Fleiss,2
Tom_Watson,1,Tom_Watson,3
Paula_Radcliffe,1,Paula_Radcliffe,3
Gwendal_Peizerat,1,Gwendal_Peizerat,3
