name1,image1,name2,image2,recognition,restoration,threshold,type
Jiri_Novak,5,Jiri_Novak,4,adaface,gfpgan,0.09476255132252771,fr
Pete_Sampras,13,Pete_Sampras,6,adaface,gfpgan,0.09476255132252771,fr
Diana_Munz,2,Diana_Munz,3,adaface,gfpgan,0.09476255132252771,fr
Jason_Vale,1,Joseph_Deiss,2,adaface,gfpgan,0.09476255132252771,fa
Buck_Rodgers,1,Bruce_Lunsford,1,adaface,gfpgan,0.09476255132252771,fa
Princess_Anne,1,John_Nimmo,1,magface,gfpgan,0.10252790185609678,fa
Xavier_Malisse,3,Xavier_Malisse,2,magface,gfpgan,0.10252790185609678,fr
Tim_Floyd,1,Tim_Floyd,2,magface,gfpgan,0.10252790185609678,fr
John_Fox,1,Jean-Pierre_Raffarin,5,magface,gfpgan,0.09252790185609677,fa
Cori_Enghusen,1,Bill_Stein,1,magface,gfpgan,0.10252790185609678,fa
Richard_Virenque,3,Cassandra_Heise,1,acrface,gfpgan,0.1250361612766836,fa
Alyse_Beaupre,1,Laurie_Hobbs,1,acrface,gfpgan,0.1250361612766836,fa
Kobe_Bryant,3,Kobe_Bryant,1,acrface,gfpgan,0.15503616127668363,fr
Iban_Mayo,1,Mike_Fisher,1,acrface,gfpgan,0.1250361612766836,fa
William_Bulger,1,William_Bulger,2,acrface,gfpgan,0.1250361612766836,fr
Vladimir_Voltchkov,1,Vladimir_Voltchkov,2,adaface,gpen,0.09476255132252771,fr
Clint_Eastwood,3,Gerhard_Schmid,1,adaface,gpen,0.09476255132252771,fa
Gloria_Macapagal_Arroyo,34,Gloria_Macapagal_Arroyo,35,adaface,gpen,0.09476255132252771,fr
Mary_Carey,2,Mary_Carey,3,adaface,gpen,0.09476255132252771,fr
Julia_Tymoshenko,2,Marilyn_Monroe,2,adaface,gpen,0.09476255132252771,fa
Donald_Rumsfeld,29,Donald_Rumsfeld,85,magface,gpen,0.10252790185609678,fr
James_Caan,1,James_Caan,3,magface,gpen,0.10252790185609678,fr
Zinedine_Zidane,4,Zinedine_Zidane,6,magface,gpen,0.10252790185609678,fr
Meirion_Evans,1,Rick_Bland,1,magface,gpen,0.10252790185609678,fa
Edgar_Savisaar,1,Ibrahim_Al-Marashi,1,magface,gpen,0.09252790185609677,fa
Gary_Winnick,1,Dan_Morales,1,acrface,gpen,0.1250361612766836,fa
Gilberto_Rodriguez_Orejuela,2,Gilberto_Rodriguez_Orejuela,1,acrface,gpen,0.15503616127668363,fr
Colin_Montgomerie,5,Colin_Montgomerie,2,acrface,gpen,0.1250361612766836,fr
Yossi_Beilin,1,Yossi_Beilin,2,acrface,gpen,0.15503616127668363,fr
Martin_Rodriguez,1,Anthony_Mazur,1,acrface,gpen,0.1250361612766836,fa
Pascal_Quignard,1,Pascal_Quignard,2,adaface,sgpn,0.1000212781709449,fr
Stephen_Ambrose,2,Stephen_Ambrose,1,adaface,sgpn,0.09476255132252771,fr
Eric_Wedge,1,Patrick_Bourrat,1,adaface,sgpn,0.09476255132252771,fa
Adrien_Brody,9,Adrien_Brody,5,adaface,sgpn,0.09476255132252771,fr
Paula_Zahn,1,Celine_Dion,8,adaface,sgpn,0.09476255132252771,fa
Anthony_Rackauckas,1,Matt_Doherty,3,magface,sgpn,0.09252790185609677,fa
Laura_Bozzo,1,Missy_Crider,1,magface,sgpn,0.10252790185609678,fa
Hank_Azaria,1,Zavad_Zarif,1,magface,sgpn,0.10252790185609678,fa
Tom_Scully,1,Grady_Little,1,magface,sgpn,0.09711533546597004,fa
Moby,1,William_Delahunt,1,magface,sgpn,0.10252790185609678,fa
Peter_Struck,3,Peter_Struck,2,acrface,sgpn,0.15503616127668363,fr
Sebastien_Grosjean,4,Tom_Harkin,1,acrface,sgpn,0.15503616127668363,fa
Sheldon_Silver,1,Andrew_Firestone,1,acrface,sgpn,0.1250361612766836,fa
Bill_Simon,13,Bill_Simon,11,acrface,sgpn,0.1250361612766836,fr
Chita_Rivera,1,Chita_Rivera,2,acrface,sgpn,0.15503616127668363,fr
