name1,image1,name2,image2,ff_sgpn_gfp_gan_magface,ff_gpen_gfp_gan_magface,ff_gpen_sgpn_magface,ff_all_magface,ff_sgpn_gfp_gan_adaface,ff_gpen_gfp_gan_adaface,ff_gpen_sgpn_adaface,ff_all_adaface,ff_sgpn_gfp_gan_arcface,ff_gpen_gfp_gan_arcface,ff_gpen_sgpn_arcface,ff_all_arcface
Marcelo_Ebrard,3,Marcelo_Ebrard,1,0.4754077366097037,0.5241789472492723,0.4349478157932012,0.4754567376497848,0.4206692322467332,0.4519089465350961,0.3997691138744763,0.4241165895200231,0.5397132554902615,0.5774226536136978,0.4862035106138112,0.5347143498455721
Carlos_Ruiz,2,Carlos_Ruiz,1,0.1842617432804191,0.1975582910033516,0.0167507980567861,0.1336196767985085,0.187463566036005,0.1796494388802825,0.0842414110734768,0.1510648901526886,0.247482705500674,0.3081794141406309,0.0383413982482653,0.2016822868913408
Norah_Jones,14,Norah_Jones,6,0.2484963611006517,0.4082481709636016,0.2423839940643479,0.3021143154058494,0.1947465376466474,0.3312788837052856,0.1370474400793902,0.2217390790772344,0.1845391495897941,0.4451859418337295,0.1788665420126527,0.2692682531916029
Donald_Rumsfeld,22,Donald_Rumsfeld,34,0.3936722764063241,0.4464309796702541,0.4177466652208858,0.41641585462787,0.4058947819109347,0.4508867670258648,0.4009183842227476,0.4196763532555762,0.5332364998794311,0.6137253148649047,0.6097550903863911,0.5851470447326481
Nathalie_Baye,2,Nathalie_Baye,4,0.2178144956428807,0.2242957904450853,0.188377000177679,0.2084050148716341,0.1416378786921935,0.2261550115414576,0.1546769417268162,0.171826440680963,0.3347685834034685,0.3765722601817071,0.3323291498725414,0.3468385532313064
Mario_Cipollini,1,Mario_Cipollini,2,0.1123751646253114,0.0958004589386975,0.1315450234965229,0.1144799830635248,0.1419140693620767,0.2060822769365169,0.1221914592286082,0.1560321062344145,0.286414266685477,0.3257999962576572,0.2790989803848142,0.2971662285817563
Leonid_Kuchma,5,Leonid_Kuchma,2,0.3026781608374935,0.5795067115447443,0.3557676144432429,0.4139836343411392,0.2408818040650581,0.5072717939253416,0.2862772381893906,0.345903251829631,0.2655255427754168,0.6203874120208216,0.2388223332404798,0.3726280249036233
Lesley_McCulloch,1,Lesley_McCulloch,3,0.2088316526620533,0.2390994666959495,0.1566418997335253,0.1988492556373999,0.1238855816115513,0.1556895959121625,0.1266185992550682,0.1352457727314934,0.348873666026711,0.4043472112948418,0.3055861566886505,0.3535815824473011
Arturo_Gatti,3,Arturo_Gatti,2,0.1166886950564693,0.1231262738819999,0.1207270920753565,0.1198051558502199,0.1020847631767161,0.0936407747957837,0.0336362003095281,0.0760570748463772,0.2801908843255104,0.2345053964131375,0.2080393595466309,0.2412931642426184
Eva_Dimas,2,Eva_Dimas,1,0.3744708947234403,0.3832030227606689,0.3640552729886408,0.372172928172559,0.4090820875032789,0.4915743670334407,0.363156886008217,0.4215216633872448,0.5598513941180359,0.5898948262909105,0.5074944818189293,0.5527107953116226
Paul_Pierce,1,Paul_Pierce,2,0.3069793662636428,0.3730683462360702,0.2949772728457854,0.3239969261219456,0.2469246399968062,0.3397733635503724,0.2807771922263695,0.2886514234183879,0.4453146358959558,0.4719714270525034,0.4414093093609119,0.4528412974639424
Muammar_Gaddafi,2,Muammar_Gaddafi,1,0.1125028574128668,0.13475266092593,0.0797783771248638,0.1073890682458691,0.0901324403626599,0.1138854829473641,0.0777769109680629,0.0934700649550477,0.2691127807398402,0.1771021269042622,0.1638272469375438,0.2023309828044039
Dan_Wheldon,2,Dan_Wheldon,1,0.3957383447223155,0.3568983298162447,0.3518074405101859,0.3674071069610498,0.3696665210222121,0.3626465178250974,0.3045245001925441,0.3446034598403523,0.4977969718508828,0.5443539856212093,0.4851615751620685,0.5079005327283047
Natasha_McElhone,1,Natasha_McElhone,2,0.0247236816410724,0.0740476396382807,0.0497271844108839,0.0493235794039599,0.0614490164168858,0.0710493826542061,0.007980734058665,0.0465227523892877,0.0079673590326162,0.1898681816054255,-0.0728674002857232,0.0411404375473251
Mahathir_Mohamad,8,Mahathir_Mohamad,4,0.2340086019429402,0.3672036012252179,0.2206352861428496,0.2743576671874995,0.2987536957335969,0.3645183044554418,0.2439286191479446,0.3025899341531236,0.2659492204321906,0.4190244822835964,0.275318589217208,0.3203845040604324
Naomi_Watts,13,Naomi_Watts,1,0.10595522851754,0.2512785356058671,0.0153172228835734,0.1241403498881499,0.2368447786997082,0.3136027612337678,0.1346845852286163,0.2259764986249097,0.1390715153856267,0.4461670260613773,0.0936623135040761,0.222886751835844
Farouk_al-Sharaa,1,Farouk_al-Sharaa,2,0.058637408796865,0.0139663465417083,0.0539917529062396,0.0458787219656638,0.0997940359118376,0.171578081422289,0.0758966161931664,0.1135918136786756,0.1791183791110665,0.1237370468547693,0.1971198758757399,0.1677986184213185
Maria_Soledad_Alvear_Valenzuela,4,Maria_Soledad_Alvear_Valenzuela,1,0.047472648965277,0.0995985663052217,0.0418028669716309,0.0613909704559604,0.0766373060770174,0.1238962324405466,0.0507350872575015,0.0834797694636916,0.0635463419624897,0.1328731798376496,-0.0611816086184247,0.0479885756741308
Penelope_Ann_Miller,2,Penelope_Ann_Miller,1,0.0193560322301661,0.1894283322768312,-0.073240935111552,0.0334308835868604,0.1612235924795028,0.4141932425263285,0.1470978348998803,0.2383058331666782,0.2147162650431847,0.5165452129433935,0.1607856664290606,0.2853156117317535
Prince_Harry,2,Prince_Harry,1,0.0232455879167114,0.0695477496470783,0.0339901395254314,0.0412493921545958,0.116759328135129,0.1871148123053772,0.1495472038906713,0.1514411958249341,0.2373210059709376,0.3225596154932757,0.2441772077611346,0.2651623800592168
Lindsay_Davenport,18,Lindsay_Davenport,4,0.3308169409804113,0.3423524499347213,0.3539374387643833,0.3413353887191295,0.2401399617070928,0.1929144798550912,0.1537494928779673,0.1944617011094706,0.4566743636294919,0.4683956435085536,0.4072169763160721,0.4430830749340651
Johnny_Unitas,1,Johnny_Unitas,2,0.3395172609620823,0.2508343135689608,0.2942834790002162,0.2958633276614006,0.3551351244004389,0.2659633835305468,0.2941191719037823,0.3053531425826902,0.4460899344048587,0.4763819861681541,0.4494047609532794,0.4568603363686766
Vanessa_Williams,3,Vanessa_Williams,1,0.2544411105104469,0.3605551676942118,0.2181041816058293,0.2769936909680215,0.3251660203357027,0.3651169102366431,0.3373576533133247,0.3423592935914439,0.3669985892669327,0.5228922148249346,0.4154058985478964,0.43591397335147
Lauren_Killian,2,Lauren_Killian,1,0.3080851455134705,0.4137801754829804,0.2526062604951228,0.323666972100736,0.2852895688997791,0.394930445738979,0.2401912216059472,0.304197073352151,0.4173661470838085,0.5855986714599114,0.3828160697701304,0.4579890027026276
Olesya_Bonabarenko,1,Olesya_Bonabarenko,2,0.4030365492594472,0.2529899802084492,0.4406337696052783,0.3784759844227874,0.3877750296796042,0.2980687140723399,0.334094975528409,0.3413174142464383,0.5663344851729725,0.4043160949269442,0.5171768360054855,0.4975027666869256
Jean_Brumley,2,Jean_Brumley,1,0.200501768908461,0.221540790283403,0.1262070785741576,0.1826367400821306,0.228541295273054,0.2527351595637001,0.1511749008538665,0.2105362092688961,0.223405060313562,0.3000963070814516,0.1647349539336214,0.2286856909697671
